2024-07-27T19:56:51.853Z [info]: This message will be logged to both console and file.
2024-07-27T19:56:51.856Z [info]: This message will be logged only to the file.
2024-07-27T19:56:52.621Z [info]: WalletManager initialized
2024-07-27T19:56:58.720Z [info]: Password correct. Access granted.
2024-07-27T19:57:14.608Z [info]: Generating 80 wallets
2024-07-27T19:57:14.614Z [info]: New wallet generated: 
2024-07-27T19:57:14.620Z [info]: Wallet inserted successfully: 
2024-07-27T19:57:14.622Z [info]: New wallet generated: 
2024-07-27T19:57:14.627Z [info]: Wallet inserted successfully: 
2024-07-27T19:57:14.630Z [info]: New wallet generated: 
2024-07-27T19:57:14.635Z [info]: Wallet inserted successfully: 
2024-07-27T19:57:14.637Z [info]: New wallet generated: 
2024-07-27T19:57:14.642Z [info]: Wallet inserted successfully: 
2024-07-27T19:57:14.644Z [info]: New wallet generated: 
2024-07-27T19:57:14.647Z [info]: Wallet inserted successfully: 
2024-07-27T19:57:14.649Z [info]: New wallet generated: 
2024-07-27T19:57:14.653Z [info]: Wallet inserted successfully: 
2024-07-27T19:57:14.655Z [info]: New wallet generated: 
2024-07-27T19:57:14.658Z [info]: Wallet inserted successfully: 
2024-07-27T19:57:14.661Z [info]: New wallet generated: 
2024-07-27T19:57:14.666Z [info]: Wallet inserted successfully: 
2024-07-27T19:57:14.668Z [info]: New wallet generated: 
2024-07-27T19:57:14.672Z [info]: Wallet inserted successfully: 
2024-07-27T19:57:14.674Z [info]: New wallet generated: 
2024-07-27T19:57:14.678Z [info]: Wallet inserted successfully: 
2024-07-27T19:57:14.679Z [info]: New wallet generated: 
2024-07-27T19:57:14.683Z [info]: Wallet inserted successfully: 
2024-07-27T19:57:14.685Z [info]: New wallet generated: 
2024-07-27T19:57:14.689Z [info]: Wallet inserted successfully: 
2024-07-27T19:57:14.690Z [info]: New wallet generated: 
2024-07-27T19:57:14.694Z [info]: Wallet inserted successfully: 
2024-07-27T19:57:14.696Z [info]: New wallet generated: 
2024-07-27T19:57:14.699Z [info]: Wallet inserted successfully: 
2024-07-27T19:57:14.701Z [info]: New wallet generated: 
2024-07-27T19:57:14.705Z [info]: Wallet inserted successfully: 
2024-07-27T19:57:14.706Z [info]: New wallet generated: 
2024-07-27T19:57:14.710Z [info]: Wallet inserted successfully: 
2024-07-27T19:57:14.711Z [info]: New wallet generated: 
2024-07-27T19:57:14.715Z [info]: Wallet inserted successfully: 
2024-07-27T19:57:14.717Z [info]: New wallet generated: 
2024-07-27T19:57:14.721Z [info]: Wallet inserted successfully: 
2024-07-27T19:57:14.722Z [info]: New wallet generated: 
2024-07-27T19:57:14.726Z [info]: Wallet inserted successfully: 
2024-07-27T19:57:14.727Z [info]: New wallet generated: 
2024-07-27T19:57:14.730Z [info]: Wallet inserted successfully: 
2024-07-27T19:57:14.731Z [info]: New wallet generated: 
2024-07-27T19:57:14.735Z [info]: Wallet inserted successfully: 
2024-07-27T19:57:14.736Z [info]: New wallet generated: 
2024-07-27T19:57:14.740Z [info]: Wallet inserted successfully: 
2024-07-27T19:57:14.741Z [info]: New wallet generated: 
2024-07-27T19:57:14.745Z [info]: Wallet inserted successfully: 
2024-07-27T19:57:14.746Z [info]: New wallet generated: 
2024-07-27T19:57:14.749Z [info]: Wallet inserted successfully: 
2024-07-27T19:57:14.750Z [info]: New wallet generated: 
2024-07-27T19:57:14.754Z [info]: Wallet inserted successfully: 
2024-07-27T19:57:14.755Z [info]: New wallet generated: 
2024-07-27T19:57:14.758Z [info]: Wallet inserted successfully: 
2024-07-27T19:57:14.760Z [info]: New wallet generated: 
2024-07-27T19:57:14.763Z [info]: Wallet inserted successfully: 
2024-07-27T19:57:14.764Z [info]: New wallet generated: 
2024-07-27T19:57:14.768Z [info]: Wallet inserted successfully: 
2024-07-27T19:57:14.769Z [info]: New wallet generated: 
2024-07-27T19:57:14.773Z [info]: Wallet inserted successfully: 
2024-07-27T19:57:14.774Z [info]: New wallet generated: 
2024-07-27T19:57:14.777Z [info]: Wallet inserted successfully: 
2024-07-27T19:57:14.778Z [info]: New wallet generated: 
2024-07-27T19:57:14.782Z [info]: Wallet inserted successfully: 
2024-07-27T19:57:14.783Z [info]: New wallet generated: 
